malicious_term
hacker
phishing
malware
ransomware
spyware
adware
trojan
backdoor
keylogger
botnet
rootkit
exploit
zero-day
vulnerability
bruteforce
DDoS
SQL injection
XSS
cross-site scripting
CSRF
clickjacking
social engineering
spoofing
session hijacking
MITM
man in the middle
packet sniffing
keylogging
credential stuffing
password cracking
rainbow table
hash cracking
shellcode
reverse shell
bind shell
meterpreter
malicious payload
trojan horse
virus
worm
bot
command and control
C2
red teaming
pentesting
penetration testing
black hat
white hat
grey hat
APT
advanced persistent threat
cyber attack
data breach
exfiltration
dumpster diving
dark web
deep web
black market
darknet
hacker forum
leaked database
stolen credentials
credit card fraud
fake login
typosquatting
malicious domain
domain squatting
phishing email
spear phishing
whaling attack
business email compromise
BEC
CEO fraud
email spoofing
fake website
drive-by download
browser hijacker
session fixation
malicious macro
malspam
malvertising
trojanized software
cryptojacking
unauthorized access
privilege escalation
remote code execution
RCE
buffer overflow
heap overflow
stack overflow
integer overflow
format string attack
race condition
side channel attack
timing attack
supply chain attack
watering hole attack
malicious insider
rogue employee
rogue admin
rogue access point
fake access point
evil twin
wireless hacking
wardriving
warshipping
credential harvesting
malicious USB
rubber ducky
bash bunny
bad USB
payload delivery
virus infection
hidden malware
steganography
obfuscation
code injection
DLL injection
process hollowing
fileless malware
living off the land
LOLBins
wiper malware
backdoor access
remote access trojan
RAT
clipper malware
key swap attack
malicious script
malicious batch file
PowerShell attack
macro virus
Excel 4.0 macro
HTA attack
browser exploit
fake software update
drive-by attack
watering hole attack
exploit kit
malicious PDF
malicious link
click fraud
session replay attack
account takeover
credential stuffing
bruteforce attack
password spraying
default credentials
phishing campaign
email attachment attack
malicious shortcut
LNK attack
network eavesdropping
WiFi sniffing
WPA2 cracking
WEP cracking
password dump
hashdump
NTLM relay attack
Kerberoasting
Pass-the-Hash
Pass-the-Ticket
Silver Ticket
Golden Ticket
Mimikatz
Responder
L0phtCrack
hashcat
John the Ripper
Cain and Abel
Metasploit
Empire
Cobalt Strike
Pupy
Brute Ratel
Sliver
BloodHound
Maltego
open-source intelligence
OSINT
dark web market
hacker marketplace
stolen data
doxing
credential leaks
leaked passwords
hacked accounts
credit card skimming
ATM skimming
fraudulent transaction
blackmail
extortion
ransom demand
cryptocurrency scam
fake crypto exchange
investment scam
Ponzi scheme
fake tech support
social media hacking
Facebook hack
Instagram hack
Twitter hack
YouTube hack
LinkedIn breach
hacked API
API abuse
fake login page
data scraping
account takeover fraud
identity theft
fake ID
stolen identity
synthetic identity fraud
phone scam
SIM swapping
SIM hijacking
malicious bot
automated attack
CAPTCHA bypass
scraper bot
fake user agent
automated spam
credential phishing
phishing toolkit
fake invoice scam
malicious QR code
browser-based attack
formjacking
Magecart
point-of-sale attack
POS malware
malicious code execution
ransomware group
double extortion
data auction
hacked cloud account
cloud account takeover
AWS credential theft
Azure account compromise
Google Cloud breach
hacked Kubernetes cluster
container escape
privilege escalation attack
cloud misconfiguration
malicious SDK
fake app
trojanized mobile app
spy app
stalkerware
mobile malware
